content	timeStamp	tweetId	userId	topic	swn3_negative_words	sentiStrength_pos	afinn_positive_words	afinn_positiveness	swn3_neutral_words	afinn_negative_words	afinn_negativeness	label	lex_positive_words	swn3_negativeness	swn3_positive_words	swn3_positiveness	lex_negative_words	supervised_polarity	sentiStrength_neg	emo_joy	emo_anticipation	emo_fear	emo_trust	emo_sadness	emo_anger	emo_surprise	emo_disgust	sentiStrength_neu
"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right."""	Mon May 11 03:17:40 UTC 2009	3	tpryan	kindle2	5	3	2	5	4	0	0	positive	2	-0.7784951292	0	0	0	positive	-1	0	0	0	0	0	0	0	0	positive
"Reading my kindle2...  Love it... Lee childs is good read."""	Mon May 11 03:18:03 UTC 2009	4	vcu451	kindle2	0	3	2	6	2	0	0	positive	2	0	4	1.0766622443	0	positive	-1	2	1	0	1	0	0	1	0	positive
"Ok, first assesment of the #kindle2 ...it fucking rocks!!!"""	Mon May 11 03:18:54 UTC 2009	5	chadfu	kindle2	0	2	0	0	1	1	-4	positive	0	0	3	0.0825386047	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)"""	Mon May 11 03:19:04 UTC 2009	6	SIX15	kindle2	8	3	3	5	1	2	-3	positive	2	-1.388671875	5	0.7417831402	1	positive	-4	1	0	0	0	1	0	0	0	negative
"@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)"""	Mon May 11 03:21:41 UTC 2009	7	yamarama	kindle2	4	2	2	5	2	0	0	positive	2	-0.231379509	3	0.2496337891	0	positive	-1	1	1	0	1	0	0	0	0	positive
"@richardebaker no. it is too big. I'm quite happy with the Kindle2."""	Mon May 11 03:22:00 UTC 2009	8	GeorgeVHulme	kindle2	3	2	2	4	1	1	-1	positive	1	-0.2421875	3	0.7931747437	1	positive	-1	1	1	0	1	0	0	0	0	positive
"Fuck this economy. I hate aig and their non loan given asses."""	Mon May 11 03:22:30 UTC 2009	9	Seth937	aig	4	1	0	0	2	2	-7	negative	0	-1.1875	1	0.03125	1	negative	-4	0	0	1	1	1	1	0	1	negative
"Jquery is my new best friend."""	Mon May 11 03:26:10 UTC 2009	10	dcostalis	jquery	0	2	1	3	0	0	0	positive	2	0	3	0.2750244141	0	positive	-1	1	0	0	1	0	0	0	0	positive
"Loves twitter"""	Mon May 11 03:27:15 UTC 2009	11	PJ_King	twitter	0	3	0	0	1	0	0	positive	0	0	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	positive
"how can you not love Obama? he makes jokes about himself."""	Mon May 11 03:29:20 UTC 2009	12	mandanicole	obama	1	2	2	5	2	0	0	positive	1	-0.625	2	0.3542480469	0	neutral	-2	1	0	0	0	0	0	0	0	negative
"Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM"""	Mon May 11 03:32:42 UTC 2009	13	jpeb	obama	2	1	0	0	5	0	0	neutral	1	-0.0025158525	1	0.0932533749	0	neutral	-1	1	1	0	2	0	0	0	0	neutral
"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism"""	Mon May 11 03:32:48 UTC 2009	14	kylesellers	obama	7	1	2	2	5	1	-3	negative	3	-0.6747465134	5	0.4180908203	1	neutral	-3	0	0	0	0	0	0	0	0	negative
"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation"""	Mon May 11 03:33:38 UTC 2009	15	theviewfans	obama	2	1	0	0	2	0	0	positive	1	-0.0654296875	3	0.1347337961	0	neutral	-1	0	0	0	0	1	0	0	0	neutral
"Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!"""	Mon May 11 05:05:58 UTC 2009	16	MumsFP	nike	1	2	0	0	2	0	0	positive	0	-0.0625	1	0.0758056641	1	neutral	-1	0	0	0	0	0	0	0	0	positive
"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x"""	Mon May 11 05:06:22 UTC 2009	17	vincentx24x	nike	4	3	2	5	1	4	-9	negative	2	-0.857665062	4	0.8277740479	2	neutral	-3	1	0	0	0	0	1	0	3	negative
"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2"""	Mon May 11 05:20:15 UTC 2009	18	cameronwylie	lebron	4	2	2	4	4	0	0	positive	2	-1.0326805115	5	0.5022621164	0	neutral	-1	1	2	0	1	0	0	0	0	positive
"I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James."""	Mon May 11 05:20:28 UTC 2009	19	luv8242	lebron	6	1	1	3	8	3	-7	negative	0	-0.6788671613	4	0.0263353586	1	negative	-4	0	0	1	0	1	0	0	0	negative
"i love lebron. http://bit.ly/PdHur"""	Mon May 11 05:21:04 UTC 2009	20	mtgillikin	lebron	1	3	1	3	0	0	0	positive	1	-0.03125	1	0.3522949219	0	positive	-1	1	0	0	0	0	0	0	0	positive
"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."""	Mon May 11 05:21:37 UTC 2009	21	ursecretdezire	lebron	4	2	1	2	3	0	0	negative	0	-0.3218364716	1	0.125	1	neutral	-1	1	0	1	0	0	1	0	0	positive
"@Pmillzz lebron IS THE BOSS"""	Mon May 11 05:21:45 UTC 2009	22	Native_01	lebron	1	1	0	0	0	0	0	positive	0	-0.048828125	0	0	0	neutral	-1	0	0	0	0	0	0	0	0	neutral
"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol"""	Mon May 11 05:22:03 UTC 2009	23	princezzcutz	lebron	3	3	4	11	3	0	0	positive	2	-0.1015625	3	0.4780274015	0	positive	-1	2	1	0	1	0	0	1	0	positive
"lebron and zydrunas are such an awesome duo"""	Mon May 11 05:22:12 UTC 2009	24	peterlikewhat	lebron	3	3	1	4	1	0	0	positive	1	-0.203125	1	0.75	0	positive	-1	0	0	0	0	0	0	0	0	positive
"@wordwhizkid Lebron is a beast... nobody in the NBA comes even close."""	Mon May 11 05:22:37 UTC 2009	25	emceet	lebron	2	1	0	0	2	0	0	positive	1	-0.25	2	0.0738386891	2	neutral	-1	0	0	1	0	0	1	0	0	neutral
"downloading apps for my iphone! So much fun :-) There literally is an app for just about anything."""	Mon May 11 06:02:24 UTC 2009	26	CocoSavanna	iphone app	2	2	1	4	3	0	0	positive	2	-0.328125	3	0.4479980469	0	positive	-1	1	1	0	0	0	0	0	0	positive
"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!"""	Mon May 11 19:47:29 UTC 2009	33	DreambigRadio	visa	7	3	1	3	5	2	-4	positive	3	-0.5096230535	4	1.0400411505	2	positive	-4	1	1	1	1	1	0	1	2	negative
"http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)"""	Mon May 11 19:49:21 UTC 2009	34	andrewwatson	fredwilson	0	3	1	4	0	0	0	positive	2	0	3	0.9224309903	0	positive	-1	0	0	0	0	0	0	0	0	positive
"In montreal for a long weekend of R&amp;R. Much needed."""	Mon May 11 19:50:07 UTC 2009	35	fredwilson	fredwilson	2	1	0	0	3	0	0	positive	0	-0.0780029297	2	0.3984375	1	neutral	-1	0	1	0	0	0	0	0	0	neutral
"Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv"""	Thu May 14 02:58:07 UTC 2009	46	JoeSchueller	"booz allen"""""	4	3	1	1	5	2	-7	positive	0	-0.3651580811	2	0.0322265625	1	neutral	-2	0	0	1	0	1	1	0	1	positive
"[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP"""	Thu May 14 02:58:23 UTC 2009	47	scottabel	"booz allen"""""	0	1	3	8	2	0	0	positive	2	0	4	0.40625	0	neutral	-1	2	2	0	1	0	0	2	0	neutral
"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake."""	Thu May 14 05:24:50 UTC 2009	49	JustMe_D	40d	6	3	1	3	5	1	-2	positive	1	-0.9296875	4	0.7547302246	1	neutral	-2	1	0	0	0	1	0	0	0	positive
"need suggestions for a good IR filter for my canon 40D ... got some? pls DM"""	Thu May 14 05:25:04 UTC 2009	50	hiteshbagai	40d	3	2	1	3	3	0	0	neutral	2	-0.458984375	2	0.8724386115	0	neutral	-1	1	1	0	1	0	0	1	0	positive
"@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv"""	Sat May 16 16:18:36 UTC 2009	117	Annimallover	google	5	2	1	3	4	0	0	neutral	2	-0.40625	5	1.2276021857	0	positive	-1	1	1	0	1	0	0	1	0	positive
