content	timeStamp	tweetId	userId	topic	swn3_negative_words	sentiStrength_pos	afinn_positive_words	afinn_positiveness	swn3_neutral_words	afinn_negative_words	afinn_negativeness	label	lex_positive_words	swn3_negativeness	swn3_positive_words	swn3_positiveness	lex_negative_words	supervised_polarity	sentiStrength_neg	emo_joy	emo_anticipation	emo_fear	emo_trust	emo_sadness	emo_anger	emo_surprise	emo_disgust
RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?	2011-10-18 22:06:03	126418790706713000	noUser	apple	1	1	0	0	6	0	0	negative	0	-0.009765625	5	0.5640869141	0	neutral	-1	0	1	0	1	0	0	0	0
@Late_Show I would have watched but the folks at @apple have a jihad against adobe flash. Plse consider a YouTube link in future on UR site	2011-10-18 22:00:51	126417484017451000	noUser	apple	5	1	0	0	8	0	0	neutral	0	-0.4051570892	5	0.4865779877	2	neutral	-1	0	0	0	0	0	0	0	0
RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..	2011-10-18 22:00:04	126417285559763000	noUser	apple	1	2	1	3	6	1	-1	negative	1	-0.1484375	1	0.5	1	negative	-1	0	0	0	1	0	0	0	0
@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..	2011-10-18 21:58:36	126416915664085000	noUser	apple	1	2	1	3	6	1	-1	negative	1	-0.1484375	1	0.5	1	negative	-1	0	0	0	1	0	0	0	0
THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE	2011-10-18 21:55:23	126416109212680000	noUser	apple	2	1	0	0	1	1	-3	negative	1	-0.0854949951	1	0.00390625	1	negative	-1	0	0	1	0	1	0	0	0
RT @rdingwell: .@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more, its a disappointment #wtf	2011-10-18 21:53:56	126415742177513000	noUser	apple	5	1	0	0	2	2	-6	neutral	0	-0.5703125	3	0.6878204346	1	neutral	-3	0	0	0	1	1	0	0	1
Hey @apple, androids releasing brand new state of the art phones, whens your new phone come out? What's that? (cont) http://t.co/2sko9l3d	2011-10-18 21:53:26	126415618625913000	noUser	apple	5	2	0	0	0	0	0	neutral	0	-0.3371009827	4	0.276679039	0	neutral	-1	1	1	0	0	1	0	1	0
Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is	2011-10-18 21:53:25	126415614616154000	noUser	apple	3	1	0	0	1	0	0	positive	1	-0.2230945081	5	0.3927650461	0	negative	-1	0	0	0	0	0	0	0	0
.@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more, its a disappointment #wtf	2011-10-18 21:49:37	126414657836687000	noUser	apple	5	1	0	0	2	2	-6	neutral	0	-0.5703125	3	0.6878204346	1	neutral	-3	0	0	0	1	1	0	0	1
@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5	2011-10-18 21:35:44	126411162622497000	noUser	apple	3	2	0	0	1	3	-4	negative	0	-0.484375	2	0.0319824796	2	negative	-2	1	0	1	0	1	1	0	1
@apple needs to hurry up and release #iTunesMatch	2011-10-18 21:33:28	126410591949697000	noUser	apple	1	1	0	0	0	0	0	negative	0	-0.0234375	3	0.3974032402	0	neutral	-1	0	1	0	0	0	0	0	0
@Apple how fun wouldn't it be if it was possible to integrate  ( soon to be named ) with notifications?	2011-10-18 21:31:42	126410146703352000	noUser	apple	2	2	1	4	3	0	0	neutral	1	-0.328125	3	0.4064941406	0	positive	-1	1	1	0	0	0	0	0	0
Interesting read on war b/w @Apple &amp; @Samsung- http://t.co/Vt9d24Yi -using latter, agree lack of innovation, but better specs at same price!	2011-10-18 21:31:03	126409984836764000	noUser	apple	2	2	4	6	4	2	-4	neutral	4	-0.01953125	8	1.3171081543	2	neutral	-3	0	0	1	0	0	0	0	0
Why is  #Siri always down @apple	2011-10-18 21:29:54	126409696553861000	noUser	apple	1	1	0	0	1	0	0	negative	0	-0.0625	1	0.0436720997	1	negative	-1	0	0	0	0	0	0	0	0
I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple	2011-10-18 21:26:36	126408864387183000	noUser	apple	10	1	0	0	4	0	0	negative	2	-0.6986379623	2	0.5476074219	0	negative	-1	0	2	0	1	0	0	0	0
@apple AirDrop #fail - Immediate &quot;declined your request.&quot; every time	2011-10-18 21:23:22	126408052525105000	noUser	apple	1	1	0	0	2	1	-2	negative	0	-0.3321533203	2	0.0686035156	1	neutral	-2	0	1	0	0	0	0	0	0
RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget	2011-10-18 21:23:00	126407959495442000	noUser	apple	2	1	1	2	5	0	0	neutral	2	-0.2499146489	7	0.5934329033	0	neutral	-1	0	0	0	0	0	0	0	0
good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb	2011-10-18 21:22:14	126407767132078000	noUser	apple	0	2	1	3	4	1	-4	negative	1	0	5	1.111696424	0	neutral	-3	1	1	1	1	0	0	1	0
The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget	2011-10-18 21:21:52	126407672521163000	noUser	apple	2	1	1	2	5	0	0	neutral	2	-0.2499146489	7	0.5934329033	0	neutral	-1	0	0	0	0	0	0	0	0
Today's headline: @apple reports lower 4Q earnings. Headline in 3 months: @Apple reports record Q1 earnings.	2011-10-18 21:21:13	126407511531192000	noUser	apple	1	1	0	0	4	0	0	neutral	0	-0.01953125	4	0.3282165527	0	neutral	-2	0	0	0	0	1	0	0	0
Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/XVcch6Os #PampersHelloApps&quot;	2011-10-18 21:14:52	126405911697818000	noUser	apple	3	2	1	4	2	0	0	neutral	0	-0.2124023438	3	0.1826362358	0	positive	-1	1	0	0	0	0	0	0	0
@apple expanded the app store to more than 20 new countries in the december quarter	2011-10-18 21:14:31	126405821482533000	noUser	apple	0	1	0	0	6	0	0	neutral	0	0	2	0.0760345459	0	neutral	-1	0	1	0	0	0	0	0	0
RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s	2011-10-18 21:12:51	126405405667627000	noUser	apple	2	1	0	0	1	1	-2	negative	0	-0.357421875	2	0.376953125	1	positive	-2	0	0	0	0	1	1	0	0
Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s	2011-10-18 21:11:59	126405185630253000	noUser	apple	2	1	0	0	1	1	-2	negative	0	-0.357421875	2	0.376953125	1	positive	-2	0	0	0	0	1	1	0	0
@Apple will be rolling out iPhone 4S to more than 20 more countries by the end of the month.	2011-10-18 21:11:53	126405160934179000	noUser	apple	3	1	0	0	5	0	0	neutral	1	-0.2680091858	2	0.0040283203	0	neutral	-1	0	0	0	0	0	0	0	0
