content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	label	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP
RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?	0	neutral	0	0	0	0	1	0	-4.739999999999999	4.164000000000001	0	0.5640869140625	0	-0.009765625	neutral	0	0	1	-1	-3.4160000000000004	negative	0	0	3.537	1	0	1
@Late_Show I would have watched but the folks at @apple have a jihad against adobe flash. Plse consider a YouTube link in future on UR site	0	neutral	0	0	2	0	0	0	-5.711	4.173	0	0.48657798767089844	0	-0.40515708923339844	neutral	0	0	0	-1	-2.6990000000000003	neutral	0	0	2.6810000000000005	0	0	1
RT @Jewelz2611 @mashable @apple iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..	0	positive	1	1	1	1	0	3	-5.365	2.361	-1	0.5	0	-0.1484375	negative	0	0	2	-1	-4.047000000000001	negative	0	0	0.611	1	0	2
@mashable @apple iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..	0	positive	1	1	1	1	0	3	-5.365	1.7480000000000002	-1	0.5	0	-0.1484375	negative	0	0	2	-1	-4.047000000000001	negative	0	0	0.5730000000000001	1	0	2
THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE	0	neutral	1	2	1	0	0	0	-3.29	0.378	-3	0.00390625	0	-0.0854949951171875	negative	1	1	0	-1	-3.567	negative	0	0	0.6970000000000001	0	1	1
RT @rdingwell: .@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more its a disappointment #wtf	0	negative	0	1	1	0	0	0	-11.019	2.758	-6	0.6878204345703125	0	-0.5703125	neutral	1	1	1	-3	-5.646	neutral	1	0	1.7640000000000002	1	0	1
Hey @apple androids releasing brand new state of the art phones whens your new phone come out? What's that? (cont) http://t.co/2sko9l3d	1	positive	0	0	0	0	1	0	-2.6829999999999994	4.646000000000001	0	0.27667903900146484	1	-0.3371009826660156	neutral	1	0	1	-1	-1.8679999999999999	neutral	0	0	4.841	0	0	2
Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is	0	neutral	1	1	0	0	0	0	-3.3819999999999997	0.8119999999999999	0	0.3927650460827863	0	-0.22309450805187225	negative	0	1	0	-1	-3.3240000000000003	positive	0	0	1.1099999999999997	0	0	1
.@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more its a disappointment #wtf	0	negative	0	1	1	0	0	0	-11.019	2.145	-6	0.6878204345703125	0	-0.5703125	neutral	1	1	1	-3	-5.646	neutral	1	0	1.7260000000000002	1	0	1
@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5	0	negative	0	2	2	0	0	0	-5.141	1.6729999999999998	-4	0.03198247963155154	1	-0.484375	negative	1	2	0	-2	-7.724	negative	1	1	2.143	0	1	2
@apple needs to hurry up and release #iTunesMatch	0	neutral	0	0	0	0	1	0	-2.8340000000000005	0.101	0	0.3974032402038574	0	-0.0234375	neutral	0	0	0	-1	-1.016	negative	0	0	0.6859999999999999	0	0	1
@Apple how fun wouldn't it be if it was possible to integrate  ( soon to be named ) with notifications?	0	positive	1	0	0	1	1	4	-3.741	3.205	0	0.406494140625	1	-0.328125	positive	0	0	1	-1	-1.161	neutral	0	0	1.045	0	0	2
Interesting read on war b/w @Apple &amp; @Samsung- http://t.co/Vt9d24Yi -using latter agree lack of innovation but better specs at same price!	0	negative	4	1	2	3	0	6	-5.427	4.215	-4	1.317108154296875	0	-0.01953125	neutral	0	2	3	-3	-2.207	neutral	0	0	2.2920000000000003	0	1	2
Why is  #Siri always down @apple	0	neutral	0	0	1	0	0	0	-3.182	0.266	0	0.0436720997095108	0	-0.0625	negative	0	0	0	-1	-1.558	negative	0	0	0.107	0	0	1
I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple	0	neutral	2	0	0	1	2	0	-4.590000000000001	2.017	0	0.547607421875	0	-0.6986379623413086	negative	0	1	3	-1	-4.776	negative	0	0	3.505	1	0	1
@apple AirDrop #fail - Immediate &quot;declined your request.&quot; every time	0	negative	0	1	1	0	1	0	-2.038	1.5620000000000003	-2	0.068603515625	0	-0.3321533203125	neutral	0	0	0	-2	-1.375	negative	0	0	0.406	0	0	1
RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget	0	neutral	2	0	0	1	0	2	-3.8099999999999996	2.248	0	0.5934329032897949	0	-0.24991464894173987	neutral	0	0	0	-1	-4.122	neutral	0	0	4.689	0	0	1
good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb	1	negative	1	0	0	1	1	3	-5.676	3.1620000000000004	-4	1.1116964239627123	1	0.0	neutral	0	0	2	-3	-2.573	negative	0	0	2.679	1	1	2
The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget	0	neutral	2	0	0	1	0	2	-3.8099999999999996	1.635	0	0.5934329032897949	0	-0.24991464894173987	neutral	0	0	0	-1	-4.122	neutral	0	0	4.651	0	0	1
