content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	label	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP
Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :)	0	positive	0	0	0	0	0	0	-1.23	2.6550000000000002	0	0.03125	0	-0.8046876639127731	neutral	0	1	0	-1	-2.9149999999999996	positive	0	1	3.572	0	0	2
Theo Walcott is still shit, watch Rafa and Johnny deal with him on Saturday.	1	negative	1	1	0	0	2	0	-3.127	1.046	-4	0.3193359375	1	-0.2075786590576172	neutral	0	1	1	-2	-3.4530000000000003	negative	1	1	2.915	1	1	1
its not that I'm a GSP fan, i just hate Nick Diaz. can't wait for february.	0	negative	1	1	1	0	1	3	-3.6999999999999997	2.064	-3	0.559326171875	0	-1.390625	negative	1	2	0	-3	-4.773	negative	1	1	3.004	0	1	1
Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)	1	positive	2	0	0	1	1	2	-7.056999999999999	1.7409999999999999	0	0.29638671875	1	-0.2875404357910156	neutral	0	0	3	-1	-1.9759999999999998	negative	0	0	2.173	3	0	2
with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.	0	positive	2	0	0	2	2	5	-1.5510000000000002	4.963	0	1.492187529846888	1	-0.43646240234375	neutral	1	1	2	-2	-1.1880000000000002	positive	0	0	4.284	2	0	3
Talking about ACT's && SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out.	0	negative	1	1	0	0	0	1	-5.7970000000000015	1.056	0	0.36437994056905154	0	-0.4100990295410156	neutral	0	0	0	-2	-5.811000000000001	negative	0	0	1.1889999999999998	0	0	1
Why is Happy Valentines Day trending? It's on the 14th of February not 12th of June smh..	0	positive	1	0	0	1	1	3	-5.5809999999999995	3.1550000000000002	0	0.5478515625	1	-0.625	negative	0	0	1	-1	-3.732	neutral	0	0	4.63	1	0	2
They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll	1	neutral	0	0	0	1	1	4	-3.5639999999999996	2.303	0	0.21875	1	-0.8744535446166992	neutral	1	0	1	-1	-2.962	negative	1	0	4.460000000000001	1	0	1
Im bringing the monster load of candy tomorrow, I just hope it doesn't get all squiched	1	positive	2	1	1	0	2	2	-1.8329999999999997	1.2269999999999999	0	0.6194496163952863	1	-0.3502197265625	negative	0	1	1	-1	-2.319	neutral	0	0	1.9289999999999998	1	1	2
Apple software, retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://bit.ly/XQEhJU 	0	neutral	0	0	0	0	0	0	-3.6839999999999997	2.664	0	0.03125	0	-0.18597793579101562	neutral	0	0	0	-1	-2.27	neutral	0	0	4.871	0	0	1
