content	NCRsurprise	SSPOL	OPW	BLNW	ONW	BLPW	NCRanticipation	APO	NRCHASHNEG	S140LEXPOS	ANE	avgNeg	SWP	NCRjoy	SWN	s140	NCRsadness	NCRnegative	NCRpositive	SSN	S140LEXNEG	avgPos	NCRdisgust	NCRanger	NRCHASHPOS	NCRtrust	NCRfear	SSP	SNpos	SNneg	SNpleas	SNatten	SNsensi	SNapt
?RT @justinbiebcr: The bigger the better....if you know what I mean ;)	0	neutral	0	0	0	0	0	0	-2.215	1.664	0	2	0.3318367004	0	-0.03125	neutral	0	0	0	-1	-0.511	3	0	0	0.32	0	0	1	0.2	-0.07	-0.201	0.325	-0.224	0.241
Listening to the New Age station on @SlackerRadio ? http://slacker.com/r/nqKf	0	neutral	0	0	0	0	0	0	-0.561	1.926	0	1	0.2476806641	0	0	positive	0	0	0	-1	-0.349	3	0	0	3.037	0	0	1	0.289	0	0.442	0.328	-0.256	0.352
I favorited a YouTube video -- Drake and Josh - The Storm We will rock you http://youtu.be/v1Cib4kDPsI?a	0	positive	1	0	1	1	0	2	-0.919	6.25	0	1	0.0112304688	0	-0.6962890625	positive	0	1	1	-1	-0.975	1	0	1	4.618	0	0	2	0.766	0	0.64	1.06	-0.333	0.929
i didnt mean knee high I ment in lengt it goes down to my knees ^-^ and is so cute I love it!	0	positive	2	0	1	2	0	5	-2.655	4.578	0	2	1.2076611668	1	-0.09375	positive	0	0	2	-1	-6.638	4	0	0	3.377	0	0	3	0.634	-0.312	-0.317	0.798	-0.614	1.145
I wana see the vid Kyan	0	neutral	0	0	0	0	0	0	-1.034	0.729	0	1	0.001526475	0	-0.03125	neutral	0	0	0	-1	-1.477	2	0	0	0.141	0	0	1	0.082	0	0	0.074	0	0.173
if my mom went on for the love of ray J or any reality show i'd bee pissed .	0	negative	1	0	0	1	0	3	-2.406	2.901	-4	3	0.6179237366	1	-0.34375	neutral	0	0	1	-3	-3.687	1	0	1	3.198	1	1	3	0.744	-0.5	0.381	0.741	0.413	0.514
Ok so I just got a deal for my own show For The Love Of Deez Nuts go to VH1/deezNuts to apply ....R u here for Deez Nuts???	1	positive	3	0	0	1	1	3	-6.385	3.132	-6	1	0.7873573881	2	-0.84375	neutral	0	0	2	-1	-3.627	1	0	0	2.3	2	0	3	1.116	-0.046	0.598	1.309	-0.875	2.169
@Mrhilton1985 Welcome to Twitter xx	0	positive	1	0	0	1	0	2	-0.62	3.151	0	1	0.04296875	0	0	positive	0	0	0	-1	-0.165	3	0	0	1.845	0	0	2	0.26	0	0	0.779	0	0
@kjbmusic oh yeah... however  I'd still like to be in the midst of it all though... u know...	0	positive	1	0	0	1	0	3	-2.429	1.967	0	1	0.6049194336	0	-0.0718364716	neutral	0	0	0	-1	-2.388	2	0	0	0.703	0	0	2	1.281	0	1.195	1.862	-0.919	1.702
Can't say I like the new facebook layout. But just posted pics from my Super Bowl week. =)	0	positive	3	0	0	2	0	5	-2.61	3.133	0	2	0.4384155273	0	-0.0390625	positive	0	0	0	-1	-1.625	2	0	0	4.374	0	0	3	1.209	0	0.658	1.15	-0.836	2.153
I need a nice tea-drinking pic for our #Tea Club Membership page - anyone got one they'd be happy for me to use? http://bit.ly/b1PWLh	0	positive	2	0	0	2	1	6	-4.193	5.027	0	1	0.9031677246	1	-0.177734375	positive	0	0	1	-1	-1.837	2	0	0	4.311	1	0	2	0.981	0	1.263	0.918	-0.451	1.322
@JonathanRKnight so twitpic it lol  I love Home Depot  love working w/my hands and building things  my dad was in construction	0	positive	2	0	0	2	0	9	-1.355	4.008	0	1	0.7280273438	2	-0.03125	positive	0	0	4	-1	-3.345	3	0	0	5.528	0	0	3	0.606	-0.039	0.368	0.252	-0.093	1.167
@BarCough it's enough to make you sick  eh? there's nothing sacred anymore	0	neutral	1	1	1	1	0	0	-4	1.171	-2	3	0.7578125298	0	-0.1323242188	neutral	1	1	0	-1	-4.712	1	1	0	0.147	0	0	1	0.513	-0.367	-0.054	0.907	0.329	0.17
Hacienda is now level 80 time to get epic gear for her!!!! Oh and maybe some sleep would be good..	1	positive	2	0	0	1	2	3	-1.404	4.024	0	2	1.0174009232	1	-0.0352778435	positive	0	0	4	-1	-1.776	3	0	0	4.83	2	0	2	0.694	0	-0.004	0.908	-0.368	1.534
DJ K-City presents Crank of America THE MIXTAPE. wanna be on it? DM me. http://twitpic.com/10tti2 PLS RT	0	neutral	0	0	0	0	0	0	-2.417	3.425	0	1	0.0313720703	0	-0.3178710938	neutral	0	1	0	-1	-1.191	1	0	0	1.269	0	0	1	0.082	-0.057	-0.058	0.064	-0.053	0.104
Iran  with its unity and God's grace  will punch the arrogance (West) 22nd of Bahman (Feb 11) in a way that will leave them stunned 	3	negative	5	2	2	3	1	2	-3.949	4.711	-3	3	0.7648671875	1	-0.375038147	neutral	2	4	3	-3	-3.852	1	0	1	4.436	2	3	3	1.838	-0.912	0.12	1.033	0.498	1.533
@TiffyStarz wtf  where i come from noone likes metal and hardcore  like 5 of my mates max are fully into metal  it sucks  i love metalll :L	0	negative	2	1	0	3	0	7	-5.2	2.797	-7	3	1.126288414	1	-0.0625	negative	0	0	2	-3	-6.24	4	0	0	2.868	1	0	3	1.217	-0.034	0.931	1.381	-0.792	2.108
www.moneyhackers.org Reasons why entrepreneurs to venture in Nursing Agencies | Best ...: Reasons why entrepreneur... http://bit.ly/bvgzLs	0	positive	1	0	0	1	0	3	-3.37	5.962	0	1	0.13671875	0	-0.25390625	neutral	0	0	0	-1	-2.76	1	0	0	2.481	0	0	2	0.272	0	0.004	0.438	-0.278	0.652
#4WordsOnObamasHand Don't Say The N-Word	0	neutral	0	0	0	0	0	0	-0.945	0.44	0	2	0.0020141602	0	-0.1249656677	neutral	0	0	0	-1	-0.061	1	0	0	0.141	0	0	1	0.126	0	0	0.074	-0.057	0.361
City watchdog in chaos as chief executive Hector Sants resigns just months before general election	0	negative	1	1	2	0	0	0	-3.628	1.206	-3	3	0.7194824219	0	-0.34765625	neutral	1	1	2	-2	-0.975	1	0	1	1.209	2	1	1	0.283	0	0.059	0.51	-0.269	0.547
RT @MangaUK: God it is a big news day today! By popular demand  Ah! My Goddess Season 2 will be released in 3 2-disc sets: May  Jul  Sep.	0	positive	2	0	0	1	1	5	-0.77	4.536	-1	1	0.4778671265	1	-0.4262695313	positive	0	1	1	-1	-3.092	2	0	1	6.969	1	1	3	1.791	0	1.814	0.588	-0.301	3.37
